Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,8700.0,8750.0,8625.0,8675.0,8232.8876953125,38671900
2023-02-23,8625.0,8750.0,8625.0,8725.0,8280.33984375,53412300
2023-02-24,8775.0,8850.0,8675.0,8675.0,8232.8876953125,44123400
2023-02-27,8675.0,8775.0,8650.0,8775.0,8327.7919921875,59983900
2023-02-28,8775.0,8775.0,8675.0,8750.0,8304.0654296875,106349400
2023-03-01,8725.0,8750.0,8600.0,8600.0,8161.7099609375,67034700
2023-03-02,8600.0,8700.0,8600.0,8625.0,8185.435546875,56672000
2023-03-03,8650.0,8675.0,8475.0,8475.0,8043.08154296875,95376900
2023-03-06,8550.0,8550.0,8400.0,8400.0,7971.9033203125,92652000
2023-03-07,8350.0,8475.0,8350.0,8425.0,7995.62890625,106115600
2023-03-08,8400.0,8575.0,8400.0,8575.0,8137.9853515625,79350900
2023-03-09,8650.0,8650.0,8550.0,8575.0,8137.9853515625,54201400
2023-03-10,8500.0,8550.0,8450.0,8450.0,8019.3544921875,59580100
2023-03-13,8450.0,8625.0,8450.0,8550.0,8114.2587890625,82077700
2023-03-14,8425.0,8475.0,8325.0,8325.0,7900.72509765625,90495300
2023-03-15,8450.0,8475.0,8325.0,8325.0,7900.72509765625,86747400
2023-03-16,8300.0,8350.0,8250.0,8300.0,7876.99951171875,105894000
2023-03-17,8375.0,8450.0,8325.0,8375.0,7948.17724609375,198558600
2023-03-20,8400.0,8475.0,8375.0,8400.0,7971.9033203125,37277900
2023-03-21,8400.0,8500.0,8375.0,8500.0,8066.80615234375,91617400
2023-03-24,8700.0,8825.0,8625.0,8825.0,8375.2431640625,145603600
2023-03-27,8825.0,8825.0,8700.0,8700.0,8256.615234375,110692800
2023-03-28,8800.0,8800.0,8675.0,8675.0,8232.8876953125,98296600
2023-03-29,8675.0,8800.0,8625.0,8800.0,8518.44921875,101068200
2023-03-30,8900.0,8900.0,8800.0,8825.0,8542.6494140625,118912100
2023-03-31,8825.0,8850.0,8725.0,8750.0,8470.048828125,97146900
2023-04-03,8825.0,8825.0,8750.0,8800.0,8518.44921875,60288900
2023-04-04,8825.0,8825.0,8650.0,8775.0,8494.2490234375,60975800
2023-04-05,8775.0,8800.0,8725.0,8725.0,8445.8486328125,36922100
2023-04-06,8700.0,8775.0,8700.0,8750.0,8470.048828125,45489400
2023-04-10,8725.0,8800.0,8700.0,8800.0,8518.44921875,32996000
2023-04-11,8825.0,8825.0,8750.0,8825.0,8542.6494140625,44554300
2023-04-12,8900.0,8900.0,8825.0,8900.0,8615.25,91903600
2023-04-13,8950.0,8950.0,8875.0,8925.0,8639.4501953125,51726500
2023-04-14,9000.0,9000.0,8950.0,9000.0,8712.05078125,110354200
2023-04-17,9025.0,9050.0,8900.0,9025.0,8736.2509765625,83946900
2023-04-18,9050.0,9175.0,9025.0,9125.0,8833.0517578125,91178700
2023-04-26,9125.0,9200.0,9000.0,9200.0,8905.6513671875,186928200
2023-04-27,9100.0,9175.0,9075.0,9150.0,8857.2509765625,54842400
2023-04-28,9100.0,9125.0,9050.0,9050.0,8760.451171875,145775300
2023-05-02,9100.0,9100.0,8900.0,9050.0,8760.451171875,83645900
2023-05-03,9050.0,9050.0,8875.0,8925.0,8639.4501953125,83728800
